model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20250524_05956_model_92,0.6669602357441372,0.6284541704722381,0.5461893176438152,0.391368870927202,0.4684586221655502,0.2194534806812456
GBM_grid_1_AutoML_1_20250524_05956_model_48,0.6668054633397507,0.6273379352309059,0.5470713173127613,0.3991395627274177,0.4680651051644678,0.2190849426726243
GBM_grid_1_AutoML_1_20250524_05956_model_265,0.6665433952813334,0.6291390176227762,0.5481361539329004,0.4095367007892672,0.4685603823224716,0.2195488318821807
GBM_grid_1_AutoML_1_20250524_05956_model_218,0.6665232154102144,0.627544743214434,0.5452983119516579,0.4077639351469392,0.4681505130419743,0.2191649028614637
GBM_grid_1_AutoML_1_20250524_05956_model_198,0.6664788917647207,0.6281051940488172,0.5478393333899814,0.3961477166565917,0.4681637405958594,0.2191772880087071
GBM_grid_1_AutoML_1_20250524_05956_model_206,0.6664714144017614,0.6295366999104429,0.5471842106371967,0.4126688149821129,0.4690643016953964,0.2200213191249898
GBM_grid_1_AutoML_1_20250524_05956_model_194,0.6664561894097117,0.6290487415123249,0.5461764761941109,0.3865474132378153,0.4686715768488463,0.2196530469459841
GBM_grid_1_AutoML_1_20250524_05956_model_208,0.6664465499177039,0.6307457511476342,0.5446628420893689,0.3984635370449281,0.4695176919854524,0.2204468630873461
GBM_grid_1_AutoML_1_20250524_05956_model_12,0.6662540303436795,0.6276655200887294,0.5473728486056039,0.4095846279831751,0.4681368445202087,0.219152105197338
GBM_grid_1_AutoML_1_20250524_05956_model_95,0.6662424089000438,0.6288967358941291,0.5506571212343243,0.4248014219602042,0.4685713859994431,0.2195591437774391
GBM_grid_1_AutoML_1_20250524_05956_model_161,0.6662047518191163,0.628235262181081,0.5440301253245272,0.425516546142987,0.4683100579316045,0.2193143103599028
GBM_grid_1_AutoML_1_20250524_05956_model_36,0.6661728604156513,0.6286045102268404,0.5461404340692627,0.3929553331165198,0.4685365500207424,0.2195264987053396
GBM_grid_1_AutoML_1_20250524_05956_model_167,0.6661148432861839,0.6275642132626251,0.5537553395501688,0.3936918083236563,0.4679914596768987,0.2190160063305144
GBM_grid_1_AutoML_1_20250524_05956_model_137,0.6660007909788769,0.6301497351203399,0.54875141454063,0.4079538421483635,0.4692149383883896,0.2201626584068202
GBM_grid_1_AutoML_1_20250524_05956_model_209,0.6659869173174825,0.6276814498599775,0.5500581045005588,0.4011945762992819,0.4680815912182887,0.2191003760374451
GBM_grid_1_AutoML_1_20250524_05956_model_91,0.6659054771233234,0.6300639062558531,0.5422795434181914,0.3987581271277827,0.4690287527509284,0.2199879709070915
GBM_grid_1_AutoML_1_20250524_05956_model_244,0.6658525049616357,0.6288569723388828,0.5431902511148907,0.395666823120727,0.4686055680569265,0.2195911784139548
GBM_grid_1_AutoML_1_20250524_05956_model_145,0.6654381869827218,0.630851401628935,0.5416657896162664,0.3975070652071094,0.469502765324075,0.2204328466469534
GBM_grid_1_AutoML_1_20250524_05956_model_7,0.6652965675300468,0.6306114847068476,0.5396004699580361,0.3898250206978812,0.4695093689856114,0.220439047565267
GBM_4_AutoML_1_20250524_05956,0.6652653968362647,0.629354828415797,0.5476051854690731,0.4037658882701796,0.4686953685313981,0.219675348482783
GBM_grid_1_AutoML_1_20250524_05956_model_216,0.6651410744159774,0.6297532629394255,0.5477913956076178,0.4093858922881361,0.4687202016562259,0.219698627440653
GBM_grid_1_AutoML_1_20250524_05956_model_50,0.6649729688824586,0.6289171163954804,0.5410216653545037,0.3732205903152834,0.4687117318608053,0.2196906875839554
GBM_grid_1_AutoML_1_20250524_05956_model_239,0.6649668428501545,0.6299853185888379,0.5481211798038004,0.4099910181555778,0.4691159538429282,0.2200697781499603
GBM_grid_1_AutoML_1_20250524_05956_model_117,0.6648469347766746,0.6296954671937588,0.5468176131793503,0.3860203942822497,0.468968210195415,0.219931182173891
GBM_grid_1_AutoML_1_20250524_05956_model_235,0.6647722512357919,0.6297393065799425,0.5455748019825206,0.4043071412419809,0.4690544435135711,0.2200120709798258
GBM_grid_1_AutoML_1_20250524_05956_model_96,0.664613334750729,0.6292801292036563,0.543198996875664,0.3950812465034319,0.4688710383802468,0.2198400506317708
GBM_grid_1_AutoML_1_20250524_05956_model_41,0.6643797347247835,0.6285726020083722,0.5491535125508495,0.4034304880015351,0.4684797928976805,0.2194733163534536
GBM_grid_1_AutoML_1_20250524_05956_model_1,0.6643113573936255,0.6290888146752462,0.5447762914375506,0.4011058389195841,0.4688380745849128,0.2198091401804882
GBM_grid_1_AutoML_1_20250524_05956_model_230,0.6641591074731288,0.6288891550409275,0.5498390222050228,0.3993135240271095,0.4687158746430303,0.2196945711423809
GBM_grid_1_AutoML_1_20250524_05956_model_240,0.6641008200775304,0.6292901575154292,0.548412522970189,0.4104027235618914,0.4688763623770167,0.2198450431959035
GBM_5_AutoML_1_20250524_05956,0.6640218122785507,0.6295996786633746,0.5519948477317449,0.3996666717716936,0.4686889936512859,0.2196693727698551
GBM_grid_1_AutoML_1_20250524_05956_model_258,0.6639578492942,0.6297939727743056,0.543686095141533,0.3982168741559814,0.4691009762992848,0.2200557259649422
GBM_grid_1_AutoML_1_20250524_05956_model_174,0.6639561376087033,0.6292884613197902,0.5434222658216373,0.4149402216362452,0.4689762975343642,0.2199387676490405
GBM_grid_1_AutoML_1_20250524_05956_model_32,0.6639396513747087,0.6302621203602011,0.5466600961508999,0.4187892617860808,0.4692427379608232,0.2201887471289697
GBM_2_AutoML_1_20250524_05956,0.663902985269595,0.6289709959645878,0.5483239447440055,0.3927282194777197,0.4685917395496824,0.2195782183741973
GBM_grid_1_AutoML_1_20250524_05956_model_74,0.663865508366088,0.6292538267389608,0.5520268831781363,0.3944654901681685,0.4688022971092789,0.2197755937749365
GBM_grid_1_AutoML_1_20250524_05956_model_211,0.663726681663434,0.6300889800016577,0.5440600712981939,0.3979365180893626,0.469208252090752,0.2201563838300587
GBM_grid_1_AutoML_1_20250524_05956_model_255,0.6636738896791671,0.6307170464926238,0.542919632952875,0.4112686562458053,0.4695326685074826,0.2204609267957575
